role;user_authorization
SUPERROLE;LIB-HAB1
SUPERROLE;LIB-HAB2
SUPERROLE;LIB-HAB3
SUPERROLE;LIB-HAB4
SUPERROLE;LIB-HAB5
SUPERROLE;LIB-HAB6
SUPERROLE;LIB-HAB7
SUPERROLE;LIB-HAB8
SUPERROLE;LIB-HAB9
SUPERROLE;USER-HAB0
SUPERROLE;USER-HAB1
SUPERROLE;USER-HAB2
SUPERROLE;USER-HAB3
SUPERROLE;USER-HAB4
SUPERROLE;USER-HAB5
SUPERROLE;USER-HAB6
