identifier;name;all_names_french;all_names_english;iso_639_2_t;iso_639_2_b;iso_639_1;version
language-406;rajasthani;rajasthani;Rajasthani;raj;;;0
language-407;rapanui;rapanui;Rapanui;rap;;;0
language-408;rarotonga;"rarotonga; maori des îles Cook";"Rarotongan; Cook Islands Maori";rar;;;0
language-410;romanche;romanche;Romansh;roh;;rm;0
language-411;romanes, langues;romanes, langues;Romance languages;roa;;;0
language-412;roumain;"roumain; moldave";"Romanian; Moldavian; Moldovan";ron;rum;ro;0
language-413;rundi;rundi;Rundi;run;;rn;0
language-414;russe;russe;Russian;rus;;ru;0
language-415;rwanda;rwanda;Kinyarwanda;kin;;rw;0
language-416;sakan;"khotanais; sakan";"Khotanese; Sakan";kho;;;0
language-417;salishennes, langues;salishennes, langues;Salishan languages;sal;;;0
language-418;samaritain;samaritain;Samaritan Aramaic;sam;;;0
language-419;sames, langues;sames, langues;Sami languages;smi;;;0
language-420;sami d'Inari;sami d'Inari;Inari Sami;smn;;;0
language-421;sami de Lule;sami de Lule;Lule Sami;smj;;;0
language-422;sami du Nord;sami du Nord;Northern Sami;sme;;se;0
language-423;sami du Sud;sami du Sud;Southern Sami;sma;;;0
language-424;sami skolt;sami skolt;Skolt Sami;sms;;;0
language-425;samoan;samoan;Samoan;smo;;sm;0
language-426;sandawe;sandawe;Sandawe;sad;;;0
language-427;sango;sango;Sango;sag;;sg;0
language-428;sanskrit;sanskrit;Sanskrit;san;;sa;0
language-429;santal;santal;Santali;sat;;;0
language-430;sarde;sarde;Sardinian;srd;;sc;0
language-431;sasak;sasak;Sasak;sas;;;0
language-432;saxon, bas;"bas allemand; bas saxon; allemand, bas; saxon, bas";"Low German; Low Saxon; German, Low; Saxon, Low";nds;;;0
language-433;selkoupe;selkoupe;Selkup;sel;;;0
language-434;sémitiques, langues;sémitiques, langues;Semitic languages;sem;;;0
language-435;sepedi;"pedi; sepedi; sotho du Nord";"Pedi; Sepedi; Northern Sotho";nso;;;0
language-436;serbe;serbe;Serbian;srp;;sr;0
language-437;sérère;sérère;Serer;srr;;;0
language-438;shona;shona;Shona;sna;;sn;0
language-439;sicilien;sicilien;Sicilian;scn;;;0
language-440;sidamo;sidamo;Sidamo;sid;;;0
language-441;sindhi;sindhi;Sindhi;snd;;sd;0
language-442;singhalais;singhalais;"Sinhala; Sinhalese";sin;;si;0
language-443;sino-tibétaines, langues;sino-tibétaines, langues;Sino-Tibetan languages;sit;;;0
language-444;sioux, langues;sioux, langues;Siouan languages;sio;;;0
language-445;slaves, langues;slaves, langues;Slavic languages;sla;;;0
language-446;slavon d'église;"slavon d'église; vieux slave; slavon liturgique; vieux bulgare";"Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic";chu;;cu;0
language-447;slavon liturgique;"slavon d'église; vieux slave; slavon liturgique; vieux bulgare";"Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic";chu;;cu;0
language-448;slovaque;slovaque;Slovak;slk;slo;sk;0
language-449;slovène;slovène;Slovenian;slv;;sl;0
language-450;sogdien;sogdien;Sogdian;sog;;;0
language-451;somali;somali;Somali;som;;so;0
language-452;songhai, langues;songhai, langues;Songhai languages;son;;;0
language-453;soninké;soninké;Soninke;snk;;;0
language-454;sorabes, langues;sorabes, langues;Sorbian languages;wen;;;0
language-455;sotho du Nord;"pedi; sepedi; sotho du Nord";"Pedi; Sepedi; Northern Sotho";nso;;;0
language-456;sotho du Sud;sotho du Sud;Sotho, Southern;sot;;st;0
language-457;soundanais;soundanais;Sundanese;sun;;su;0
language-458;soussou;soussou;Susu;sus;;;0
language-459;sranan tongo;sranan tongo;Sranan Tongo;srn;;;0
language-460;sud-amérindiennes, langues;sud-amérindiennes, langues;South American Indian languages;sai;;;0
language-461;suédois;suédois;Swedish;swe;;sv;0
language-462;suisse alémanique;"suisse alémanique; alémanique; alsacien";"Swiss German; Alemannic; Alsatian";gsw;;;0
language-463;sukuma;sukuma;Sukuma;suk;;;0
language-464;sumérien;sumérien;Sumerian;sux;;;0
language-465;swahili;swahili;Swahili;swa;;sw;0
language-466;swati;swati;Swati;ssw;;ss;0
language-467;symboles Bliss;"symboles Bliss; Bliss";"Blissymbols; Blissymbolics; Bliss";zbl;;;0
language-468;syriaque;syriaque;Syriac;syr;;;0
language-469;syriaque classique;syriaque classique;Classical Syriac;syc;;;0
language-470;tadjik;tadjik;Tajik;tgk;;tg;0
language-471;tagalog;tagalog;Tagalog;tgl;;tl;0
language-472;tahitien;tahitien;Tahitian;tah;;ty;0
language-473;tai, langues;tai, langues;Tai languages;tai;;;0
language-474;tamacheq;tamacheq;Tamashek;tmh;;;0
language-475;tamoul;tamoul;Tamil;tam;;ta;0
language-476;tatar;tatar;Tatar;tat;;tt;0
language-477;tatar de Crimé;tatar de Crimé;"Crimean Tatar; Crimean Turkish";crh;;;0
language-478;tchèque;tchèque;Czech;ces;cze;cs;0
language-479;tchétchène;tchétchène;Chechen;che;;ce;0
language-480;tchouvache;tchouvache;Chuvash;chv;;cv;0
language-481;télougou;télougou;Telugu;tel;;te;0
language-482;temne;temne;Timne;tem;;;0
language-483;tereno;tereno;Tereno;ter;;;0
language-484;tetum;tetum;Tetum;tet;;;0
language-485;thaï;thaï;Thai;tha;;th;0
language-486;tibétain;tibétain;Tibetan;bod;tib;bo;0
language-487;tigré;tigré;Tigre;tig;;;0
language-488;tigrigna;tigrigna;Tigrinya;tir;;ti;0
language-489;tiv;tiv;Tiv;tiv;;;0
language-490;tlingit;tlingit;Tlingit;tli;;;0
language-491;tok pisin;tok pisin;Tok Pisin;tpi;;;0
language-492;tokelau;tokelau;Tokelau;tkl;;;0
language-493;tonga (Nyasa);tonga (Nyasa);Tonga (Nyasa);tog;;;0
language-494;tongan (×les Tonga);tongan (×les Tonga);Tonga (Tonga Islands);ton;;to;0
language-495;touva;touva;Tuvinian;tyv;;;0
language-496;tsigane;tsigane;Romany;rom;;;0
language-497;tsimshian;tsimshian;Tsimshian;tsi;;;0
language-498;tsonga;tsonga;Tsonga;tso;;ts;0
language-499;tswana;tswana;Tswana;tsn;;tn;0
language-500;tumbuka;tumbuka;Tumbuka;tum;;;0
language-501;tupi, langues;tupi, langues;Tupi languages;tup;;;0
language-502;turc;turc;Turkish;tur;;tr;0
language-503;turc ottoman (1500-1928);turc ottoman (1500-1928);Turkish, Ottoman (1500-1928);ota;;;0
language-504;turkmène;turkmène;Turkmen;tuk;;tk;0
language-505;tuvalu;tuvalu;Tuvalu;tvl;;;0
language-506;twi;twi;Twi;twi;;tw;0
language-507;ukrainien;ukrainien;Ukrainian;ukr;;uk;0
language-508;umbundu;umbundu;Umbundu;umb;;;0
language-509;vaï;vaï;Vai;vai;;;0
language-510;valencien;"catalan; valencien";"Catalan; Valencian";cat;;ca;0
language-511;venda;venda;Venda;ven;;ve;0
language-512;vietnamien;vietnamien;Vietnamese;vie;;vi;0
language-513;vieux bulgare;"slavon d'église; vieux slave; slavon liturgique; vieux bulgare";"Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic";chu;;cu;0
language-514;vieux slave;"slavon d'église; vieux slave; slavon liturgique; vieux bulgare";"Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic";chu;;cu;0
language-515;volapük;volapük;Volapük;vol;;vo;0
language-516;vote;vote;Votic;vot;;;0
language-517;wakashanes, langues;wakashanes, langues;Wakashan languages;wak;;;0
language-518;wallon;wallon;Walloon;wln;;wa;0
language-519;waray;waray;Waray;war;;;0
language-520;washo;washo;Washo;was;;;0
language-521;wolaitta;"wolaitta; wolaytta";"Wolaitta; Wolaytta";wal;;;0
language-522;wolaytta;"wolaitta; wolaytta";"Wolaitta; Wolaytta";wal;;;0
language-523;wolof;wolof;Wolof;wol;;wo;0
language-524;xhosa;xhosa;Xhosa;xho;;xh;0
language-525;yao;yao;Yao;yao;;;0
language-526;yapois;yapois;Yapese;yap;;;0
language-527;yi de Sichuan;yi de Sichuan;"Sichuan Yi; Nuosu";iii;;ii;0
language-528;yiddish;yiddish;Yiddish;yid;;yi;0
language-529;yoruba;yoruba;Yoruba;yor;;yo;0
language-530;yupik, langues;yupik, langues;Yupik languages;ypk;;;0
language-531;zandé, langues;zandé, langues;Zande languages;znd;;;0
language-532;zapotèque;zapotèque;Zapotec;zap;;;0
language-533;zaza;"zaza; dimili; dimli; kirdki; kirmanjki; zazaki";"Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki";zza;;;0
language-534;zazaki;"zaza; dimili; dimli; kirdki; kirmanjki; zazaki";"Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki";zza;;;0
language-535;zenaga;zenaga;Zenaga;zen;;;0
language-536;zhuang;"zhuang; chuang";"Zhuang; Chuang";zha;;za;0
language-537;zoulou;zoulou;Zulu;zul;;zu;0
language-538;zuni;zuni;Zuni;zun;;;0
